,countrykey,year,countryname,agriculture,elec,slums,tax,mobile,internet,agriculture_gdp,services_gdp,gdp,gdp_growth,gdppc,urban,oil,natural,literacy,prim_compl,enrl_gross,enrl_net,edu_expenses,mortality_child,mortality_neo,hospitalbeds,tub,health_gdp,inc_b10,unempl,lifeexp,life_pol,life_rel,qual_ind,qual_manners,qual_tol,qual_faith,qual_obd,trust,order_freedom,dem_order,traditional_rational,surv_self,wvs_wave,polity,un_region_name,un_continent_name,democracy,id
141,TUR,2007,Turkey,51.32986,98.269852,14.1,NA,89.049179,28.63,7.518461,54.64392,6.76E+11,5.0304578,9709.72,68.97499847,0.0883619,0.42492435,88.655899,97.337227,102.89519,98.511467,NA,NA,11.9,2.8,31,5.2807571,2.1,8.8699999,73.219,2.8076063,1.3630952,0.39970282,NA,0.69242199,0.41753343,0.45245171,1.9522031,NA,NA,0.48700143,0.47369527,5,7,Western Asia,Asia,1,168
142,TZA,2001,Tanzania,38.496275,10.24379,NA,NA,0.78469075,0.17130035,30.656802,44.613624,1.04E+10,5.9978289,304.33928,22.67399979,0,4.3953162,NA,54.946831,73.32872,57.052078,NA,NA,32.6,NA,506,NA,NA,5.0999999,52.281,2.0119048,1.2037383,0.41929974,NA,0.83603757,0.75149445,0.76088813,1.9190647,NA,3.0633363,0.7243158,0.40290163,4,-1,Eastern Africa,Africa,0,169
143,UGA,2001,Uganda,63.119964,8.6,NA,NA,1.140701,0.23794509,27.850241,44.779665,5.84E+09,5.1836611,234.98408,12.16699982,0,12.414496,NA,59.815899,131.75497,NA,NA,NA,33.3,NA,266,8.6076896,NA,3.2650001,48.12,2.3487903,1.3516484,0.31936128,NA,0.56586826,0.66766467,0.69461078,1.9218437,NA,2.92713,0.39162636,0.51015654,4,-4,Eastern Africa,Africa,0,170
144,UKR,1996,Ukraine,72.218866,98.982971,NA,NA,0.0593091,0.09858038,12.229051,42.422011,4.46E+10,-10,872.70917,66.98999786,0.4682049,2.3327071,NA,NA,NA,NA,NA,NA,12.4,10.84,NA,NA,2.8,7.6500001,66.887805,2.917075,2.4536243,0.33653504,NA,0.61188189,0.20419779,0.38242618,1.6902757,1.4794681,2.3992986,0.99519648,0.44762225,3,7,Eastern Europe,Europe,1,171
145,UKR,2006,Ukraine,71.25794,99.630371,NA,17.747545,105.27679,4.5061246,7.5634978,48.094562,1.08E+11,7.3,2303.0188,67.96900177,0.8558103,6.6519315,NA,104.31594,100.05814,88.781174,NA,NA,8.4,8.7,125,6.1808045,3.7,6.8099999,68.077561,2.814664,2.430945,0.295,NA,0.567,0.151,0.49,1.7171717,NA,NA,0.72210736,0.53417514,5,7,Eastern Europe,Europe,1,171
146,URY,1996,Uruguay,85.367387,97.487206,NA,17.351102,2.4199554,1.8474721,8.0160582,63.438446,2.05E+10,5.5779578,6316.2937,90.83499908,0,0.38145108,96.781807,94.403008,108.13822,92.047974,NA,NA,9.7,4.3899999,NA,NA,NA,11.93,73.854,2.794898,2.4614604,0.523,NA,0.711,0.178,0.283,1.7835897,1.6507431,2.8599349,0.74854199,0.86453792,3,10,South America,Americas,1,172
147,URY,2006,Uruguay,83.961833,98.505426,NA,18.988056,69.948392,29.4,8.9138452,56.79312,1.96E+10,4.0985774,5877.8761,93.5530014,0,1.0973257,97.789627,99.543404,115.30109,99.947319,94.256752,NA,6.8,2.9,19,8.9484644,1.9,10.56,75.961,2.9070707,2.5727273,0.492,NA,0.817,0.182,0.385,1.7156069,NA,NA,0.6558748,1.0142045,5,10,South America,Americas,1,172
148,USA,1995,United States,45.871911,100,NA,10.946156,12.717687,9.2370883,NA,NA,7.66E+12,2.7189758,28782.175,77.25700378,0.3259684,0.8513425,NA,NA,103.87694,97.037849,NA,NA,5,4.0999999,NA,NA,NA,5.5999999,75.621951,2.3145108,1.6316819,0.44033722,NA,0.74902724,0.55058366,0.36835279,1.6406353,1.5139741,2.8445378,0.62152019,1.1109105,3,10,Northern America,Americas,1,173
149,USA,1999,United States,45.189301,100,NA,12.222606,30.856451,35.848724,1.1508052,73.008305,9.66E+12,4.6851996,34620.929,78.74199677,0.17691789,0.66169612,NA,NA,101.71715,95.766541,NA,NA,4.7,3.5999999,NA,NA,NA,4.2199998,76.582927,2.3508772,1.6279264,0.62,NA,0.7975,0.53416667,0.3225,1.6372054,NA,2.8643478,0.68362105,1.1682735,4,10,Northern America,Americas,1,173
150,USA,2006,United States,44.664743,100,NA,11.274557,77.091642,68.931193,1.0219185,74.004382,1.39E+13,2.6666258,46437.067,80.09899902,0.32164249,1.2831889,NA,NA,99.752182,94.503403,NA,NA,4.4,3.1,5.3,14.660634,NA,4.6199999,77.687805,2.4284559,1.8870056,0.53082466,NA,0.79023219,0.5060048,0.28742994,1.6043513,NA,NA,0.73273299,1.0278054,5,10,Northern America,Americas,1,173
